"","id","created_at","text"
"172",1076281260421668864,"2018-12-22 01:00:23","(VIDEO) Lovot, un robot para generar afecto y ayudar a vencer la soledad. ▶ https://t.co/vP4YokJ6ku https://t.co/BfFLRetNMr"
"231",1075601718878949376,"2018-12-20 04:00:08","Jóvenes politécnicos dieron vida al primer robot en operar en el área de servicios. Ecuador empieza a crear su prop… https://t.co/VauZBmgmoM"
"320",1074454172752379904,"2018-12-17 00:00:11","Los tres ingenieros que crearon a Lucía, la robot que mantiene ordenadas las perchas de un supermercado, trabajan e… https://t.co/j3lqyqFbyv"
"370",1073638881973678080,"2018-12-14 18:00:31","EXPRESO recorrió esta semana las cuatro rutas del servicio de transportación urbana con mayor índice de robos. Se a… https://t.co/KITbI8pECY"
"423",1072872481130799104,"2018-12-12 15:15:07","La Trinitaria es uno de los puntos con mayor cantidad de robos en buses. La PJ elaboró un informe con líneas y sect… https://t.co/LmG9xFyYcr"
"548",1070747257111265280,"2018-12-06 18:30:14","#FFAA. Hubo dos meses de seguimiento permanente a los sospechosos. Un parte policial dio la noticia del delito a la… https://t.co/VnEBkRPpIK"
"606",1069803513130221568,"2018-12-04 04:00:08","La firma celebra su aniversario número 58. Un robot y el sistema de autopago integran esta primera tienda futurista… https://t.co/OTcFcY4L22"
"669",1068686178474491904,"2018-12-01 02:00:14","La firma celebra su aniversario número 58. Un robot y el sistema de autopago integran esta primera tienda futurista… https://t.co/pZfk0FvQAq"
