"","id","created_at","text"
"365",1073654096123609088,"2018-12-14 19:00:58","La Trinitaria es uno de los puntos con mayor cantidad de robos en buses. La PJ elaboró un informe con líneas y sect… https://t.co/q66BvTpH8N"
"391",1073291631946858496,"2018-12-13 19:00:40","La Trinitaria es uno de los puntos con mayor cantidad de robos en buses. La PJ elaboró un informe con líneas y sect… https://t.co/nkV84lhDSU"
"424",1072914205693628416,"2018-12-12 18:00:55","La Trinitaria es uno de los puntos con mayor cantidad de robos en buses. La PJ elaboró un informe con líneas y sect… https://t.co/46S2qmiFAs"
"592",1070399969511792640,"2018-12-05 19:30:14","La víctima tenia ocho años cuando ocurrió el delito sexual, en 2015. La mañana de este miércoles 5 de diciembre, Án… https://t.co/KCryXpCobx"
"619",1070037582308880384,"2018-12-04 19:30:14","A cuidarse, porque en esta época del año se incrementan los robos y hurtos. Aquí te mostramos los más comunes ¡Pont… https://t.co/fxWhNXCHl8"
"641",1069705365296738304,"2018-12-03 21:30:07","A cuidarse, porque en esta época del año se incrementan los robos y hurtos. ▶ https://t.co/W2h0Z1gXvb https://t.co/g5vdke6vmg"
"681",1069018357381382144,"2018-12-02 00:00:12","Después de ver la películas quedó completamente obsesionado y cometió un delito. El hecho ocurrió en Singapur:… https://t.co/Vw0FdtStWR"
